ZIP,Median_income
12777,76786
12778,
12779,37597
12780,37350
12781,61944
12783,60658
12784,
12785,51250
12786,47717
12787,57679
12788,47404
12789,51964
12790,52607
12791,70163
12792,36985
12801,46305
12803,61906
12804,65224
12808,70125
12809,52971
12810,70288
12811,
12812,63672
12814,53958
12815,61394
12816,52835
12817,63125
12819,55469
12821,44952
12822,53767
12823,
12824,62813
12827,58563
12828,49633
12831,80055
12832,43370
12833,76600
12834,64484
12835,51444
12836,58036
12837,45486
12838,62321
12839,46788
12841,38125
12842,44375
12843,35750
12844,77929
12845,66555
12846,54841
12847,66875
12849,57188
12850,74792
12851,44375
12852,47500
12853,36250
12855,45000
12856,48705
12857,50625
12858,69583
12859,58262
12860,39798
12861,59375
12862,
12863,79219
12864,
12865,57831
12866,74025
12870,46667
12871,65104
12872,29167
12873,49150
12874,68500
12878,50625
12883,53963
12884,55250
12885,48641
12886,
12887,45759
12901,44763
12903,53449
12910,46471
12911,
12912,53375
12913,55435
12914,43250
12916,57083
12917,51711
12918,58505
12919,32392
12920,51250
12921,70158
12922,53906
12923,40227
12924,50556
12926,49741
12927,41250
12928,49073
12929,50714
12930,49375
12932,49479
12933,
12934,48438
12935,48112
12936,61125
12937,42721
12939,52917
12941,63125
12942,56161
12943,53152
12944,44322
12945,71250
12946,55952
12950,53750
12952,41250
12953,50728
12955,64583
12956,59511
12957,42703
12958,41018
12959,44345
12960,75833
12961,32708
12962,67478
12964,80417
12965,40486
12966,40915
12967,44306
12969,41786
12970,48125
12972,65913
12973,60208
12974,49333
12975,71667
12976,66042
12977,
12978,
12979,59400
12980,40833
12981,59570
12983,49859
12985,39414
12986,53236
12987,32917
12989,65592
12992,50375
12993,49491
12996,56750
12997,57500
12998,42350
13020,52083
13021,47905
13024,
13026,67159
13027,70593
13028,40000
13029,62459
13030,65241
13031,70182
13032,52646
13033,61000
13034,61154
13035,71865
13036,52461
13037,67655
13039,83341
13040,49353
13041,84621
13042,58241
13044,67768
13045,47667
13051,
13052,51818
13053,59423
13054,56979
13057,59256
13060,67656
13061,59241
13062,80000
13063,81711
13064,
13066,78929
13068,61291
13069,46474
13071,65188
13072,50313
13073,54729
13074,54167
13076,53710
13077,57672
13078,87734
13080,57557
13081,66528
13082,64123
13083,56154
13084,63777
13087,145066
13088,53934
13090,69519
13092,63854
13101,60889
13102,
13103,
13104,97569
13108,72537
13110,70417
13111,49306
13112,52727
13113,68750
13114,57500
13115,51125
13116,57798
13117,50833
13118,55951
13120,57132
13122,57353
13123,56793
13124,46667
13126,47992
13131,55820
13132,60329
13134,61406
13135,50347
13136,45000
13138,
13140,54592
13141,50156
13142,44833
13143,49444
13144,41935
13145,49015
13146,46149
13147,60486
13148,47987
13152,87367
13153,59417
13155,46071
13156,57332
13157,40563
13158,46012
13159,72724
13160,63063
13162,81205
13163,46250
13164,75057
13165,51768
13166,58065
13167,47708
13202,14793
13203,32984
13204,29007
13205,29547
13206,37959
13207,48645
13208,34896
13209,52760
13210,26120
13211,46368
13212,54539
13214,72694
13215,83671
13219,57405
13224,53590
13290,
13301,73750
13302,44453
13303,64531
13304,77177
13305,63229
13308,43990
13309,51851
13310,47566
13312,49063
13313,42500
13314,42443
13315,57059
13316,44867
13317,49107
13318,62885
13319,32148
13320,56477
13321,45536
13322,45625
13323,60174
13324,38550
13325,49615
13326,54637
13327,45882
13328,65250
13329,47006
13331,
13332,44516
13333,63250
13334,
13335,59479
13337,40938
13338,50956
13339,42917
13340,53730
13341,109792
13342,60833
13343,53750
13345,
13346,68456
13348,50189
13350,46985
13352,
13353,32500
13354,77946
13355,49537
13357,45855
13360,43250
13361,52969
13362,55192
13363,58274
13364,32333
13365,46849
13367,55955
13368,47308
13402,47712
13403,75260
13404,37083
13406,49297
13407,47664
13408,53417
13409,50938
13410,56250
13411,44286
13413,67509
13415,42188
13416,56083
13417,35703
13418,54643
13420,52025
13421,48689
13424,55145
13425,50000
13428,46333
13431,55529
13433,46541
13435,55750
13436,48750
13437,49107
13438,50489
13439,47755
13440,50128
13441,
13450,65250
13452,40293
13454,35938
13456,64473
13459,46771
13460,41994
13461,55746
13464,41875
13468,46607
13469,78750
13470,42054
13471,50605
13472,70357
13473,52321
13475,
13476,53167
13477,46402
13478,61250
13480,48438
13483,40893
13484,72353
13485,39896
13486,56974
13488,52292
13489,42500
13490,62485
13491,58000
13492,59708
13493,47188
13494,50625
13495,52830
13501,32920
13502,39041
13601,46125
13602,41111
13603,42989
13605,51553
13606,66063
13607,48792
13608,44881
13612,64020
13613,42063
13614,
13615,53207
13616,53197
13617,53512
13618,50951
13619,52383
13620,41982
13621,43958
13622,44524
13623,
13624,62515
13625,53300
13626,46458
13628,50938
13630,52143
13633,58125
13634,57356
13635,42656
13636,63125
13637,50503
13638,39297
13639,45208
13640,51111
13641,
13642,42733
13643,
13646,44118
13647,100625
13648,45380
13650,57292
13651,109375
13652,53403
13654,49286
13655,40731
13656,51709
13658,56852
13659,51750
13660,46750
13661,63182
13662,41610
13664,64583
13665,64375
13666,23661
13667,50375
13668,49883
13669,42341
13670,35417
13672,53125
13673,48073
13674,
13675,85476
13676,50777
13677,
13678,
13679,41875
13680,35781
13681,45625
13682,74167
13684,45926
13685,56771
13687,48750
13690,40556
13691,60769
13692,
13693,46250
13694,68958
13695,98594
13696,
13697,47083
13730,50517
13731,47188
13732,79303
13733,48964
13734,46797
13736,53864
13739,52216
13740,63438
13743,59595
13744,50000
13746,51700
13748,51627
13750,34792
13751,
13752,49659
13753,50434
13754,42888
13755,36806
13756,49615
13757,51069
13760,53532
13774,75263
13775,51481
13776,38750
13777,67500
13778,59202
13780,45265
13782,50357
13783,38487
13784,38594
13786,51458
13787,43000
13788,49766
13790,41825
13794,86500
13795,47841
13796,57000
13797,48024
13801,36184
13802,58516
13803,56458
13804,63977
13806,71250
13807,55500
13808,51750
13809,43472
13810,37009
13811,54227
13812,50341
13813,47969
13815,47385
13820,45350
13825,53155
13826,
13827,57888
13830,46548
13832,34750
13833,47404
13834,67800
13835,46979
13838,40833
13839,44531
13841,36591
13842,82000
13843,46510
13844,46250
13845,
13846,47000
13847,
13849,43438
13850,62003
13856,39781
13859,63510
13860,80938
13861,
13862,60980
13863,56406
13864,35347
13865,61364
13901,42386
13902,
13903,44136
13904,45513
13905,37288
14001,58082
14004,67535
14005,59392
14006,57401
14008,53300
14009,45456
14011,60833
14012,55564
14013,48438
14020,47976
14024,60307
14025,59009
14026,87634
14028,55234
14030,53170
14031,80402
14032,101141
14033,95000
14034,58938
14035,70859
14036,61250
14037,69063
14039,63125
14040,54458
14041,50795
14042,37679
14043,54020
14047,62442
14048,37480
14051,110506
14052,73908
14054,55972
14055,63315
14057,63359
14058,66667
14059,80025
14060,50870
14061,58125
14062,50761
14063,51297
14065,44861
14066,51400
14067,52113
14068,69857
14069,41176
14070,41014
14072,79778
14075,67538
14080,63211
14081,54265
14082,55625
14085,89395
14086,77420
14091,60046
14092,63355
14094,52618
14098,53343
14101,53424
14102,85050
14103,46345
14105,58254
14108,52394
14109,
14111,55000
14112,
14113,45714
14120,57492
14125,52723
14126,58056
14127,87369
14129,42833
14130,54821
14131,70245
14132,61308
14134,78125
14135,34250
14136,51055
14138,50333
14139,77027
14141,54746
14143,56250
14145,57250
14150,53150
14167,57500
14168,
14169,32109
14170,70688
14171,45365
14172,60208
14173,37917
14174,65353
14201,25207
14202,41731
14203,32260
14204,25222
14206,36315
14207,24091
14208,25170
14209,31194
14210,36081
14211,24326
14212,23496
14213,29515
14214,43415
14215,33643
14216,52313
14217,51281
14218,36487
14219,50630
14220,49749
14221,78002
14222,54333
14223,60632
14224,60611
14225,46170
14226,66117
14227,50712
14228,50767
14261,
14301,23449
14302,
14303,28875
14304,49059
14305,33781
14411,42924
14414,57561
14415,
14416,50951
14418,71118
14420,54811
14422,61302
14423,54630
14424,54654
14425,65679
14427,53690
14428,66123
14432,54397
14433,52538
14435,63802
14437,44945
14441,56667
14445,50235
14450,77955
14454,44814
14456,43476
14462,56875
14464,57078
14466,69977
14467,72377
14468,66339
14469,62468
14470,51418
14471,60795
14472,84074
14475,75313
14476,53857
14477,61597
14478,83355
14479,31467
14480,38276
14481,53669
14482,53238
14485,50417
14486,59315
14487,65977
14489,49226
14502,67780
14504,50278
14505,65323
14506,126058
14507,58125
14510,45020
14511,45667
14512,53196
14513,41268
14514,62299
14516,54306
14517,40288
14519,60339
14521,45132
14522,48804
14525,64549
14526,80659
14527,49010
14529,
14530,50875
14532,53611
14533,56959
14534,106878
14536,49125
14537,47361
14539,68750
14541,58144
14542,
14543,80703
14544,55189
14545,55000
14546,57306
14548,55536
14549,31477
14550,49100
14551,45625
14555,40156
14559,74523
14560,58150
14561,64844
14564,92034
14568,74034
14569,53620
14571,54063
14572,47500
14580,72157
14585,48375
14586,76058
14588,84063
14589,51495
14590,43231
14591,55625
14592,73750
14604,20039
14605,18562
14606,39980
14607,42327
14608,20450
14609,41769
14610,59420
14611,25284
14612,58917
14613,30044
14614,
14615,37921
14616,47058
14617,61735
14618,92114
14619,36941
14620,42576
14621,25694
14622,52492
14623,49093
14624,62026
14625,74663
14626,55578
14627,
14701,37016
14706,52200
14707,55417
14708,68214
14709,43281
14710,55239
14711,44762
14712,50046
14714,45000
14715,40529
14716,38333
14717,41016
14718,55319
14719,46991
14720,38750
14721,
14722,102813
14723,52417
14724,50298
14726,33558
14727,48750
14728,43864
14729,61771
14731,52961
14732,55938
14733,42358
14735,37888
14736,39688
14737,43373
14738,47238
14739,36543
14740,52174
14741,53875
14742,78542
14743,43512
14744,53000
14747,41667
14748,29318
14750,51582
14752,
14753,36528
14754,46641
14755,44018
14756,38919
14757,46719
14760,42729
14767,37461
14769,38580
14770,52727
14772,41375
14774,62917
14775,44034
14777,43125
14778,
14779,33111
14781,44600
14782,43015
14783,30625
14784,44167
14787,44931
14788,83472
14801,44801
14802,32955
14803,52083
14804,55250
14805,60833
14806,54306
14807,53032
14808,43798
14809,42262
14810,41026
14812,54583
14813,43068
14814,62061
14815,44148
14816,57361
14817,47052
14818,58750
14819,33542
14820,44213
14821,51829
14822,41088
14823,50519
14824,39444
14825,56250
14826,40990
14827,36442
14830,55895
14836,75357
14837,46906
14838,58826
14839,50000
14840,51875
14841,61544
14842,46285
14843,41859
14845,61522
14846,47188
14847,44094
14850,50290
14853,
14854,
14855,48942
14856,
14858,54079
14859,61053
14860,52500
14861,42656
14864,69732
14865,39132
14867,58411
14869,51597
14870,63376
14871,66575
14872,51293
14873,48770
14874,39231
14877,41250
14878,57404
14879,47083
14880,50726
14881,109803
14882,67236
14883,46354
14884,47917
14885,53636
14886,66661
14889,55375
14891,44161
14892,46125
14893,
14894,43828
14895,41849
14897,45000
14898,40769
14901,26944
14903,53413
14904,37927
14905,57297
